X,Y,Z,X_new,Y_new,Z_new
0.142498,1.3658329,-4.4330276,0.15194666404595492,1.4563976532948693,-4.72696989041001
-0.7969909,0.4722919,-4.1107909,-0.8167826266824404,0.48402035536772187,-4.2128744368904
-1.1255061,0.2823728,-4.3446304,-1.1811953156644843,0.29634439887181796,-4.559599523071012
-0.9550633,-0.9151384,-4.2727861,-0.9952184708996504,-0.9536149479406787,-4.452433308790404
-0.5091583,-0.9189955,-3.5896846,-0.5237913227453634,-0.9454070935149964,-3.6928508184442066
2.4395534,-0.1211589,-4.2862495,2.4827780513742232,-0.12330562538563179,-4.362194400546321
0.4532563,-1.8758765,-4.3317875,0.46949954274770006,-1.9431018587080993,-4.48702478163062
0.7618996,-1.8065097,-4.315754,0.788085276717106,-1.8685975118199776,-4.464081862404124
1.0576377,-1.6801369,-4.3048982,1.1169458605713676,-1.7743523662670213,-4.54629995193168
1.3326407,-1.5084289,-4.2920475,1.3986028360199683,-1.5830920798640482,-4.5044923255251135
0.6553324,1.5229768,-4.4539732,0.689082441959649,1.6014110890776831,-4.683355697168081
1.0087951,1.4848895,-4.4342961,1.0206047161164338,1.5022725889645712,-4.486206874237107
2.0594854,0.8580697,-4.3530138,2.1531687634539756,0.8971021959691117,-4.551026844397194
2.3313871,0.2249725,-4.2989185,2.399178303066483,0.2315141663032382,-4.423920846028148
1.5819796,-1.2952144,-4.2806864,1.6972369906195592,-1.3895791010599114,-4.59256194158387
1.8193188,-1.041898,-4.2767047,1.878715435549051,-1.075913608361374,-4.416329415809463
2.0426545,-0.7558839,-4.2762717,2.135592058953936,-0.7902754255950438,-4.470835319653641
2.2478721,-0.4465347,-4.2839236,2.3321967038698994,-0.46328559151721055,-4.444626764819258
1.3557142,1.4026586,-4.4175717,1.3909434039116086,1.439107687748562,-4.532365462736609
1.6485585,1.29041,-4.3989871,1.7302389373875904,1.3543454036931781,-4.616941871025941
1.8660462,1.106242,-4.3656537,1.9276172004105632,1.1427429326329552,-4.509700329582417
2.2128293,0.5603068,-4.322671,2.302928395626649,0.5831206410646774,-4.4986758765585035
1.9283117,-0.0802806,-3.8545562,2.0515487651951974,-0.08541127754352656,-4.100898217070141
1.8296606,-0.0191409,-3.6741667,1.9054114598162004,-0.019933363713027383,-3.826283046951479
1.6584671,-0.4176651,-3.7057249,1.736809691514835,-0.43739474451287746,-3.8807757599821207
1.7234267,-0.469128,-3.8709476,1.8149093517576538,-0.49403017509904223,-4.076424601872447
1.5134559,-0.7481464,-3.8142175,1.5427711288752501,-0.7626377921497114,-3.8880978548834713
2.0471634,-0.0673321,-4.070805,2.1634659146245334,-0.07115734059630538,-4.30207371946134
2.021582,-0.317413,-4.016989,2.0697935877770743,-0.32498280657281503,-4.1127879424980245
1.8487356,-0.4752385,-3.9033201,1.9347693921924747,-0.4973544642032443,-4.084967183738805
1.6984464,-0.7156149,-3.8728999,1.7818142294497552,-0.7507406837367748,-4.0630002519093535
2.1381803,-0.3989004,-4.1837205,2.2391358770143177,-0.41773474247955705,-4.381257591303352
2.1959259,-0.1468088,-4.1308856,2.2952632616320376,-0.15345000718115553,-4.317754964174709
1.4938803,-0.9383808,-3.9524459,1.5483306117117326,-0.9725837592761247,-4.09650825310738
0.3031747,-1.4405825,-3.8409569,0.3227225998210535,-1.5334674352995576,-4.088611604360833
1.2766582,-0.9949355,-3.8813995,1.3618778583275497,-1.061349567107351,-4.140491196761689
1.1978004,-0.9266588,-3.6729635,1.2607264881013027,-0.97534054471193,-3.86592154609338
0.9750092,-1.1852146,-3.8487882,1.0124975829290337,-1.2307852251570561,-3.996771260933523
0.2271151,-1.3432774,-3.6000972,0.23727435822700416,-1.4033645627518327,-3.7611358852178243
0.7125199,-1.3879368,-3.8718707,0.7573270148828714,-1.475217791938281,-4.115354924463799
0.6774392,-1.2686567,-3.6853688,0.6990821030759968,-1.309187885669229,-3.8031093732318153
1.1508757,-1.1844,-3.995429,1.197400270418173,-1.2322798024871704,-4.156945676267742
0.9240078,-1.3468565,-4.0100852,0.9653189014902993,-1.4070725777910846,-4.189370522788343
0.9473468,-1.6047266,-4.2234084,0.9778293968960639,-1.6563615810609915,-4.3593042047724975
1.0951399,-1.3973374,-4.1261484,1.1341318130728324,-1.447088905204237,-4.273057867674775
1.3717377,-1.1811935,-4.1005655,1.4301255349584991,-1.231470846122405,-4.275105531706147
0.2869318,-1.546265,-4.055477,0.296289371864459,-1.59669261331786,-4.18773636432337
0.5577835,-1.554516,-4.001627,0.585795934888635,-1.632585319428311,-4.202592635925236
0.2853354,-1.6682994,-4.1905926,0.3011979188991772,-1.761044396807217,-4.42355827588968
0.6326526,-1.6727655,-4.1866636,0.6660482625826893,-1.7610653223953616,-4.407663885042419
0.4752188,1.0388365,-4.0594135,0.4883838848740352,1.0676156027895902,-4.171872273235201
0.5031449,0.9529842,-3.8499655,0.5263965939636295,0.9970241912044705,-4.027882874451239
0.1011852,0.8663082,-3.7915376,0.1043927895854948,0.893770330431612,-3.911730044337432
0.2275918,0.9420842,-3.9501017,0.239411254660749,0.9910091678086295,-4.155241111650585
0.5114606,1.2012133,-4.2351004,0.5273839448637525,1.2386107723191313,-4.366952128562897
